question,context,answer,keywords,category,intent,procedure
Tips On Starting An Agri Business:,african clawed frog,"The first thing about starting an agriculture business is deciding what you want to produce. Remember, the profits you make depend on the market value of the commodity you choose. The climate, soil, irrigation, fodder and other inputs in your area should suit this commodity.

Next, you will need cash to buy seeds, pesticides, land, fertilizer, machinery and other inputs. The government offers a variety of Kisan Credit Cards and financial schemes to help you out with finance. View list of various agricultural loans offered.

Hiring farmers and other staff can make the job of farming a lot easier.

. After, harvesting begins the process of marketing and distribution. Store your produce carefully and deal with marketing cooperatives and other agencies for good remuneration.

If you need any assistance contact the Agribusiness Centre in your area or call the local Kisan Call Centre. This call centre is accessible on a toll free telephone number - 1551 in 21 different languages.",Agri Business,general questions,know what,False
When should I plant my avocado tree?,avocados,"Avocado trees like warm ground. Ideally, they should go into the ground from March through June. If they go in during the summer there is always the risk of sun damage because the trees can't take up water very well when young.","plant, avocado tree",crop cultivation,know when,False
"Is there any health benefit of using tea, coffee and cocoa and are these can be labelled as medicinal crops?",drinks & beverages,"The whole of the aforementioned issues can have some therapeutic and sedative characteristics that they are known for the majority of people around the globe. Hence, it is important to know there is a difficult and rugged pathway from the experimental processes to commercialization of a final/finish product based on medicinal plants and their made products. It is worth mentioning that, the numerous studies and researches have conducted relying on various components around the universe.","health benefit of using tea, coffee and cocoa",consumer questions,clear a doubt,False
"Is there any health benefit of using tea, coffee and cocoa and are these can be labelled as medicinal crops?",drinks & beverages,"The whole of the aforementioned issues can have some therapeutic and sedative characteristics that they are known for the majority of people around the globe. Hence, it is important to know there is a difficult and rugged pathway from the experimental processes to commercialization of a final/finish product based on medicinal plants and their made products. It is worth mentioning that, the numerous studies and researches have conducted relying on various components around the universe.","health benefit of using tea, coffee and cocoa",consumer questions,clear a doubt,False
"When should I plant my avocado tree? How big a hole should I dig? Should I put some gravel, crushed rock or planting mix at the bottom of the hole? I have a heavy clay soil. Should I elevate the tree in a mound for better drainage? What do you mean by a ""coarse yard mulch"" and where can I get some? How much sun is best for my tree? Full sun, morning, afternoon?",avocados,"Avocado trees like warm ground. Ideally, they should go into the ground from March through June. If they go in during the summer there is always the risk of sun damage because the trees can't take up water very well when young.

How big a hole should I dig?
As deep as the current root ball and just as wide as the width plus a little extra so you can get your hands into the hole to plant it. Don't drop the tree into the hole, the roots don't like that, ease it into the hole. The avocado root system is very sensitive and great care should be taken not to disturb the root system when transplanting. If the tree is root bound, however, loosen up the soil around the edges and clip the roots that are going in circles.

Should I put some gravel, crushed rock or planting mix at the bottom of the hole?
No. Do not put gravel or anything else like planting media in the hole. The sooner the roots get out into the bulk soil, the better the tree will do. Planting mix creates a textural difference between the root ball and the bulk soil and causes water movement problems. Remember, there are 5 million acres of tree crops in California planted without planting mix.

I have a heavy clay soil. Should I elevate the tree in a mound for better drainage?
Yes, good idea. Make the mound 1 to 2 feet high and 3 to 5 feet around. Put down 20 pounds of gypsum spread around the base of the tree and mulch the area with 6 inches of woody mulch keeping the material about 6-8 inches away from the tree trunk.

What do you mean by a ""coarse yard mulch"" and where can I get some?
Redwood bark will work and maybe cocoa bean husks and shrededed tree bark. Need something that is woody and about 2 inches in diameter. Coarse yard mulch is available at some garden supply centers. Be sure it is COARSE, not fine, yard mulch - and disease-free to prevent introducing diseases to your tree (like root rot). Another source of coarse mulch would be a tree trimming operation, like Asplundh or Davy. They usually have material that has been pruned from the tops of trees and doesn't contain any diseased roots. Just go through the yellow pages looking for tree services.
How much sun is best for my tree? Full sun, morning, afternoon?
Full sun is best.","plant, avocado tree, hole, dig, gravel,  crushed rock , planting mix, heavy clay soil, drainage, coarse yard mulch, sun",crop cultivation,know how,False
What is impact of compost tea bag as soil fertilizer ?,tea,,impact of compost tea bag as a soil fertilizers,general questions,clear a doubt,False
What are the climate requirement of an avocado tree?,avocados,"The avocado tree is a native understory tree to the humid and semihumid tropics. It seems to do best at moderately warm temperatures (60 - 85F) and moderate humidity. It can tolerate temperatures, once established, to around 32 - 28F with minimal damage.","climate requirement, avocado tree",crop cultivation,know what,False
How many different kinds of avocados in the world?,avocados,"Keep in mind that each seed planted results in an avocado tree very different from the parent tree. For example, you plant a seed from a Hass avocado... the seed is the result of cross-pollination and the resulting tree and fruit will be very different from its parents. Since this is the process by which new varieties are discovered, there are literally thousands of named varieties of avocados (and untold unnamed ones in the wild). In fact, there is a lady who has volunteered to go back through the literature and compile a list of named varieties for us, so far she has over 1000 varieties in her database! However, there are really only a small number of commercial varieties being grown for sale today, the main one being Hass.","kinds, avocados, world",crop cultivation,curious to know more,False
How can I tell when my avocados are ripe?,avocados,"Avocados do not ""ripen"" on the tree, that is, they do not get soft while on the tree. Once you pick an avocado, it takes about 7 to 10 days for it to soften when left at room temperature. You can speed the process up slightly by placing the avocado in a bag with some other ripe fruit (like an apple) or slow the process down by keeping the fruit in the refrigerator.

As far as knowing when it is ready to be picked, it is hard to tell from the outside when an avocado is mature. What the industry does is called a ""dry weight"" test which gives you an indirect measure of the oil content of the fruit. If the oil content is too low, the fruit is not ripe yet and will shrivel or stay rubbery insted of getting soft. I suggest you pick a couple of fruit and try to ripen them. If the fruit shrivel up or seem rubbery insted of soft, they are not mature yet. Keep picking fruit every few weeks. Note on the calendar when they soften insted of turning rubbery. Also, note the taste of the fruit. The oil content of the fruit usually increases through the season and there will be a certain point when it tastes ""just right."" That date will usually vary somewhat due to climate conditions... and some years will be better than others. Some varieties can also reach a point where they have too much oil and some will turn rancid (although many types fall from the tree before reaching that point).

The Hass avocado typically ripens in February and is good through June or July. These dates depend a lot on where you live and climate conditions. Some years you can pick larger fruit as early as December and they will ripen up. Up in Ventura County, fruit can remain on the tree and still be good into August and September.

Varieties that ripen other times of the year (dates based on our plot in Irvine, Ca):
Reed: June - Sept
Pinkerton: Nov - Jan
Fuerte: Dec - March
Lamb-Hass: May - Aug","avocados, ripe",crop cultivation,know how,False
I just planted an avocado tree. How long before I start getting fruit?,avocados,"This depends on several factors. First of all, are you purchasing a tree from a nursery or growing a tree from seed? If purchasing a tree, you can probably expect to see your first fruit 3-4 years after planting the tree. If growing from seed, it can take anywhere from 5 to 13 years before the tree is mature enough to set fruit. When the tree does flower, expect a lot of flowers to fall from the tree without setting fruit. This is natural.","avocados,  How long before I start getting fruit",crop cultivation,know when,False
How many fruit will a mature tree produce in one year?,avocados,"It is possible for an avocado tree to produce 200 to 300 fruit per tree once it is about 5 to 7 years of age. The avocado however, alternate bears. This means that the tree may produce a large crop one year, and then will produce a small crop the following year. There are lots of variables which will influence this.","produce, one year",crop cultivation,curious to know more,False
Do tea waste have a fertility value for soil and plant?,"manure, fertilizers and soil nutrients",Tea waste composition may encourage us to use tea leaves and bags as a fertilizer in soil. Do these have any hazards or benefits for soil and plant?,"tea waste fertility value for soil,",general questions,clear a doubt,False
How many years will a normal avocado tree produce fruit?,avocados,"As far as I know, an avocado tree will continue to grow and produce fruit until something kills the tree. The origional Hass tree (1926) is still alive and producing fruit. There are some wild trees in Mexico that are over 400 years old that are still producing.","normal avocado, produce, how many years",crop cultivation,curious to know more,False
I've just planted an avocado grove. How many years before it becomes profitable?,avocados,"Typically breakeven is about year 5 but it all depends on cost of water and land, variety, and price paid for the fruit at a conventional yield. You can check out the economics section on the following web site. UCCE Ventura: http://ucceventura.xlrn.ucsb.edu/","avocado grove, profitable, how many years",crop cultivation,know when,False
What is the best growing media for potted one year old tea seedlings kept inside the green house before giving Nitrogen treatments?,tea,,best growing media for one year old tea seedlings ,general questions,know what,False
What do the frequent holes and black spots under an avocado's skin mean? Are those bruises and ok to eat? Or are they rotten spots that must be cut out?,avocados,"You pose an interesting question which is difficult to answer without having a picture of exactly what you mean. The avocado fruit can have black spots and small air pockets under the skin due to mechanical damage during handling...these can be due to the fruit being impacted or compressed when partially ripe. The fruit can also develop brown semi-hard spots under the skin which can also be due to a decay organism. The organism is similar to one which may attack bananas, mangos and a range of other fruits. To my knowledge however it does not produce any deadly toxins so that if you excise the affected area of the fruit it should be safe to consume.","holes and black spots, avocado's skin, eat",crop cultivation,curious to know more,False
What can I do about a sooty mold problem?,avocados,"If it is sooty mold, a fungus that is superficial and is growing on insect exudate from mealy bug or apids, the key is to control the insect. The sooty mold can be just washed off. scales and aphids are controlled by controlling ants. For more information and photographs, visit the IPM web page at: http://www.ipm.ucdavis.edu/PMG/selectnewpest.avocado.html",sooty mold problem,crop cultivation,know what,False
What is causing the brown spots on my leaves?,avocados,"The brownish spots on the leaves is probably a symptom of the persea mite. This little creature showed up in California several years ago and caused a lot of problems including complete defoliation of some trees. The pest has been less and less a problem, probably because some natural predators have started controlling it. Still, if the leaves get a lot of spots on them and start falling off, you might want to try a soap spray or mite spray on the leaves.","brown spots, leaves",crop cultivation,know what,False
"Which is better for health, tea or coffee??",drinks & beverages,"both coffee and tea have health benefits. Providing you don't load your coffee – or tea – with sugar and cream, either can be a good source of certain nutrients and antioxidants linked to disease prevention.
Let's start with tea. Fresh tea leaves are an incredibly rich source of phytochemicals called catechins, which have potent antioxidant properties. In fact, tea is one of the highest sources of antioxidants in the North American diet. When it comes to health, most of the research has focused on green tea suggesting the beverage may help lower the risk of certain cancers (breast, ovarian) and heart disease. Regular black tea drinkers have also been found to have a lower risk of developing heart disease.
The strongest evidence for coffee's health benefits centre around diabetes. Drinking coffee – at least three cups per day – has been linked to a lower risk of developing type 2 diabetes in a number of studies. Coffee – caffeinated and decaffeinated – contains an antioxidant called chlorogenic acid, which has been shown to dampen inflammation in the body, reduce glucose (sugar) absorption and improve how the body uses insulin, the hormone that lowers blood glucose. Coffee also contains magnesium, a mineral linked to blood sugar regulation.
There is a downside with coffee for some people: its high caffeine content. (Tea contains much less caffeine than coffee.) Drinking too much coffee can result in a high intake of caffeine which can disrupt sleep and rob calcium from bones (if you consume too little calcium from foods). And some studies suggest that high intakes of caffeine during pregnancy can increase the risk of miscarriage.
Women of childbearing age should limit caffeine intake to 300 milligrams per day. Other healthy adults can safely consume 400 milligrams daily – almost 2.5 cups of coffee worth. (One eight ounce cup of regular coffee (filter drip) contains roughly 180 milligrams of caffeine.) One eight ounce cup of black tea has 43 milligrams of caffeine and green tea contains 30 milligrams.
Coffee – both regular a decaf – can also trigger heartburn if you have reflux (GERD).
So what's better for you – coffee or tea? That really depends on you. If you are not sensitive to caffeine and don't suffer heartburn, both coffee and tea are considered healthy especially if you skip the sugar.
If it's antioxidants you're after, go for green tea which contains about three times more catechins than black tea.","better for health, tea or coffee",general questions,know what,False
My leaves turned brown and fell off when I moved my tree indoors for the winter.,avocados,"There's a couple of things that confront a tree going from outside in. One is to insure adequate light intensity. Make sure it is in a bright environment. It shouldn't be in a direct southern exposure, because then it can burn, but as much light as possible without facing the burning rays of the south. Secondly it doesn't like the high/dry heat of a house. Don't exceed 80 degrees and make sure the container doesn't dry out. Occasionally spraying the leaves with water will help.","brown, leaves, fell off",crop cultivation,know why,False
"My avocado tree has gray/black spots (looks like mold) on the bottom side of the leaves along the veins, and the leaves have started to drop.",avocados,This is a case of persea mite. The mites have left and the leaf is about to fall. Hose the underside of the leaves with a good strong stream of water or try a soap spray or mite spray on the remaining leaves.,"gray/black spots,  looks like mold, leaves, drop",crop cultivation,know why,False
"Our avocados get ""cuke"" sized and then form black, mushy bottoms before falling off the tree. What causes this?",avocados,"Unfortunately, this sounds like avocado bud mite. It has been a problem in So. Ca. for the last 3 years and is likely a result of the odd weather we've been having. There are currently no proven control measures for the problem. It is caused by a miniscule mite that feeds on the forming bud, causing the distortion. A narrow range 415 oil sprayed pre-bloom may help, but thorough coverage is required. If your tree is too large, it may be possible to spray just the lower portion of the tree in order to get some fruit.","avocados,  ""cuke"" sized, leaves, black, mushy bottoms, falling off the tree",crop cultivation,know why,False
"What's the creamy-white foamy looking stuff that grows out of the bark where there are cuts, or small branches have died and dropped off?",avocados,"It is just sap coming from a wound. It dries that sugary white, fluffy stuff.","creamy-white foamy looking, bark, cuts, ",crop cultivation,know why,False
When is the best time to prune avocado trees?,avocados,"Avocados can be pruned any time of the year, but there tends to be less vigorous regrowth if it is done after cold weather in the winter, sometime around February.","time, prune, avocado trees",crop cultivation,know when,False
How do synthetic fertilizers contribute to global warming and affect environment and does fertilizer improve soil and increase crop productivity?,soil conditions,"Yes, the majorities of emissions from synthetic N fertilizers occur after they are applied to the soil and enter the atmosphere as nitrous oxide (N2O) a persistent greenhouse gas with 265 times more global warming potential than CO2. Nitrogen pollution is a pressing problem for ecosystem health and the climate. Large shares of nitrogen applied to farms as synthetic fertilizer or manure wash into rivers causing algal blooms and killing off marine life and contribute to greenhouse gas emissions. Moreover, synthetic nitrogen, now used extensively in conventional fertilizers, helps farmers produce higher yields to feed a growing world population. However, when this nitrogen is not fully utilized by the growing plants, they can be lost from the farm fields and negatively impact air and downstream water quality. Fertilization is an important agronomic measure, and appropriate application of fertilizers can promote the growth and development of farming and improve the quality and yield of crops. Fertilizers improve the supply of nutrients in the soil, directly affecting plant growth. Soil amendments improve a soil's physical condition (e.g. soil structure, water infiltration), indirectly affecting plant growth. By applying fertilizers, the soil is loaded with various nutrients that provide favorable conditions for plant growth.","synthetic fertilizers contribute to global worming,fertilizer improve soil fertility and jcrop productivity",crop cultivation,know how,False
How do synthetic fertilizers contribute to global warming and affect environment and does fertilizer improve soil and increase crop productivity?,soil conditions,"Yes, the majorities of emissions from synthetic N fertilizers occur after they are applied to the soil and enter the atmosphere as nitrous oxide (N2O) a persistent greenhouse gas with 265 times more global warming potential than CO2. Nitrogen pollution is a pressing problem for ecosystem health and the climate. Large shares of nitrogen applied to farms as synthetic fertilizer or manure wash into rivers causing algal blooms and killing off marine life and contribute to greenhouse gas emissions. Moreover, synthetic nitrogen, now used extensively in conventional fertilizers, helps farmers produce higher yields to feed a growing world population. However, when this nitrogen is not fully utilized by the growing plants, they can be lost from the farm fields and negatively impact air and downstream water quality. Fertilization is an important agronomic measure, and appropriate application of fertilizers can promote the growth and development of farming and improve the quality and yield of crops. Fertilizers improve the supply of nutrients in the soil, directly affecting plant growth. Soil amendments improve a soil's physical condition (e.g. soil structure, water infiltration), indirectly affecting plant growth. By applying fertilizers, the soil is loaded with various nutrients that provide favorable conditions for plant growth.","synthetic fertilizers contribute to global worming,fertilizer improve soil fertility and jcrop productivity",crop cultivation,know how,False
How large will my avocado tree get?,avocados,"Growth is reflected in rootstock, variety, soil depth and texture, windiness, irrigation and pruning. Columnar types (like Reed and Bacon) can ultimately get to be the same size as umbrella types (like Hass), but will take up less room. Both types can go to 35 feet in 30 years. Pruning can keep the trees to a manageable size, under 15 feet, but pruning must be done on a regualr basis, such as in peach.","how large, avocado tree",crop cultivation,know how,False
I want to grow avocados in a greenhouse. What variety would you suggest?,avocados,"First of all, be aware that you will have to prune your tree to keep it small enough for your greenhouse. I have seen a tree in Chile that was at least 60 feet tall. But don't worry - I think for your purposes you can keep them pruned to around 12 - 15 feet. You will probably need to prune the tree several times a year but the major topping should be done in the winter time.
Now, as to variety or kind to grow - there are 100's of avocado varieties for you to consider. Given the fact that you want to grow this in a greenhouse you might want to go with a less vigorous variety. The 'Gwen' avocado is a green skin variety that produces a smaller tree. I have seen 12 year old trees that are about 15' tall without pruning. The tree is semi-compact with an average width of approx 10 feet. The fruit in California matures around March and will hang on the tree to approx May/June. Another variety which produces summer fruit is the 'Reed' which is also a green-skin variety. This is a vary upright colummar tree with a smaller average width. I have seen these trees successfully maintained at below 15 feet. The fruit of this variety in my opinion is excellent, especially in late summer (approx 16 - 18 months after flowering). You could also consider the 'Pinkerton' (green skin, early season fruit) which tends more to be a spreading shorter tree. The 'Hass' (the variety that turns black when ripe) is a moderately vigorous spreading tree. A new variety is the 'Lamb Hass' which is also an upright tree. It produces fruit that also turns black when ripe. The fruit matures late spring through the summer.","avocados, greenhouse, variety",crop cultivation,curious to know more,False
What areas of California are most hospitable to avocados?,avocados,"Most areas of Southern California are suitable for avocados except for the mountains and high deserts wher it gets too cold and too dry for fruit set. Outside of Southern California, it depends on the climate. Cold is most often the problem one faces in other parts of the state. Still, I know there are home growers with avocado trees in and around San Francisco. There is also an area along the foothills of the Sierra Nevada Mountains where avocados are being grown in Fresno and Tulare Counties. Growing areas in Southern California include:
San Diego County
Orange County
Los Angeles County
Riverside County
Western San Bernardino County
Ventura County
Santa Barbara County
some parts of San Luis Obispo and Santa Cruz Counties","avocados, California",crop cultivation,know what,False
How do soil microorganisms play an important role in decomposition of SOM and importance of soil microbes & nutrient recycling for crop productivity?,soil conditions,"Micro-organisms, earthworms and insects help break down crop residues and manures by ingesting them and mixing them with the minerals in the soil, and in the process recycling energy and plant nutrients. Sticky substances on the skin of earthworms and those produced by fungi and bacteria help bind particles together. Soil organic carbon (SOC) is simultaneously a source and sinks for nutrients and plays a vital role in soil fertility maintenance. Several Microorganisms are present in soil ecosystem and they have various properties to decompose the organic carbon fraction like Cellulose, lignin, hemicelluloses, chitin and lipids present in soil organic matter. Decomposition is a mostly microbial mediated process, although its actual rate and extend are influenced by environmental variables, including soil temperature, moisture, oxygen, nitrogen content, the quality and quantity of available carbon substrates as well as soil management. Decomposition of soil organic carbon (SOC) is a critical component of the global carbon cycle, and accurate estimates of SOC decomposition are important for forest carbon modeling and ultimately for decision making relative to carbon sequestration and mitigation of global climate change. Soil microbes are a dynamic component of soil and performed many beneficial functions in the soil system. Microbes help in different biological transformation such as organic matter conversion and biological nitrogen fixation. Moreover, they enhanced the availability of nutrients to the plants. Rhizosphere bacteria may improve the uptake of nutrients to plants and/or produce plant growth promoting compounds. They also protect plant root surfaces from colonization by pathogenic microbes through direct competitive effects and production of antimicrobial agents. Soil microbes offer nutrient-dense nourishment improved crop production and recycle soil solutions. They play an essential role in decomposing organic matter, cycling nutrients, and fertilizing the soil. Besides, they improve plant growth on various physiological parameters of plants by a number of mechanisms. The mechanism involved in growth promotion includes plant growth regulators, production of different metabolites, and conversion of atmospheric nitrogen into ammonia in direct and indirect ways.",soil micro organisms and nutrient recycling in crop production,crop cultivation,know how,False
How do soil microorganisms play an important role in decomposition of SOM and importance of soil microbes & nutrient recycling for crop productivity?,soil conditions,"Micro-organisms, earthworms and insects help break down crop residues and manures by ingesting them and mixing them with the minerals in the soil, and in the process recycling energy and plant nutrients. Sticky substances on the skin of earthworms and those produced by fungi and bacteria help bind particles together. Soil organic carbon (SOC) is simultaneously a source and sinks for nutrients and plays a vital role in soil fertility maintenance. Several Microorganisms are present in soil ecosystem and they have various properties to decompose the organic carbon fraction like Cellulose, lignin, hemicelluloses, chitin and lipids present in soil organic matter. Decomposition is a mostly microbial mediated process, although its actual rate and extend are influenced by environmental variables, including soil temperature, moisture, oxygen, nitrogen content, the quality and quantity of available carbon substrates as well as soil management. Decomposition of soil organic carbon (SOC) is a critical component of the global carbon cycle, and accurate estimates of SOC decomposition are important for forest carbon modeling and ultimately for decision making relative to carbon sequestration and mitigation of global climate change. Soil microbes are a dynamic component of soil and performed many beneficial functions in the soil system. Microbes help in different biological transformation such as organic matter conversion and biological nitrogen fixation. Moreover, they enhanced the availability of nutrients to the plants. Rhizosphere bacteria may improve the uptake of nutrients to plants and/or produce plant growth promoting compounds. They also protect plant root surfaces from colonization by pathogenic microbes through direct competitive effects and production of antimicrobial agents. Soil microbes offer nutrient-dense nourishment improved crop production and recycle soil solutions. They play an essential role in decomposing organic matter, cycling nutrients, and fertilizing the soil. Besides, they improve plant growth on various physiological parameters of plants by a number of mechanisms. The mechanism involved in growth promotion includes plant growth regulators, production of different metabolites, and conversion of atmospheric nitrogen into ammonia in direct and indirect ways.",soil micro organisms and nutrient recycling in crop production,crop cultivation,know how,False
"I want to know about an avocado known as the ""cocktail"" or ""finger"" avocado.",avocados,"The small, pickle shaped fruit are called ""cukes"" (as in cucumbers) by many in the avocado industry and result from a flower that did not pollinate properly. These fruit will often fall from the tree on their own, but if they ""hang on"" you can pick them and eat them. Some varieties are more prone to producing ""cukes"" than others and occasionally avocado growers will harvest them and market them. When sold, they are often labeled ""Cocktail"" or ""Finger"" avocados.","avocado,  ""cocktail"" or ""finger""",crop cultivation,curious to know more,False
El Abbas Doka M. Ali asked a question related to Crop Production How to improve soil moisture characteristic of expansive soil cultivated under semi-arid conditions; cover crop-residues impractical 4 small farmers?,soil conditions,"As good land for the lateral expansion of agriculture becomes scarcer, there will be increasing need to intensify land use without causing a decline in productive potential. Soil moisture is often neglected, but improved soil moisture management is crucial for sustainable improvement of food production and water supply. A wider perception of soil productivity and the reasons for soil erosion and runoff will contribute to achieving higher, profitable and sustainable plant production and to improve the regularity of streamflow. Cover crops are a key tool that could contribute to increased yields, conservation of surface and groundwater quality, reduced erosion potential, sequestration of atmospheric carbon (C), and improved
soil quality.","improve soil characteristic, cover crop residues impractical for small scale farmers",crop cultivation,know how,True
El Abbas Doka M. Ali asked a question related to Crop Production How to improve soil moisture characteristic of expansive soil cultivated under semi-arid conditions; cover crop-residues impractical 4 small farmers?,soil conditions,"As good land for the lateral expansion of agriculture becomes scarcer, there will be increasing need to intensify land use without causing a decline in productive potential. Soil moisture is often neglected, but improved soil moisture management is crucial for sustainable improvement of food production and water supply. A wider perception of soil productivity and the reasons for soil erosion and runoff will contribute to achieving higher, profitable and sustainable plant production and to improve the regularity of streamflow. Cover crops are a key tool that could contribute to increased yields, conservation of surface and groundwater quality, reduced erosion potential, sequestration of atmospheric carbon (C), and improved
soil quality.","improve soil characteristic, cover crop residues impractical for small scale farmers",crop cultivation,know how,True
What is the yield of crops residues per ha (or per ton of seeds)?,beans,,"improve soil characteristic, cover crop residues impractical for small scale farmers",crop cultivation,know what,False
Does adoption of CA lead to increased compaction of agricultural soils?,conservation agriculture,"In some cases, higher bulk densities under CA have been observed. However, this can be corrected by controlling traffic and limiting the number of passes over agricultural fields, particularly when soils are wet and most prone to compaction. For animal powered and manual systems, compaction would be less than where full tillage is given. Compared to conventional tillage, which often requires multiple passes of a tractor during a typical growing season, CA uses many fewer passes, thereby helping to reduce compaction issues in the long run. Perhaps even more important than measuring the bulk densities of particular soils is looking at other indicators of a healthy soil, including aggregate stability, porosity and biological activity among others. Soils under CA are typically much healthier than tilled soils due to the lack of soil disturbance and the building up of soil organic matter (SOM). Earthworm and previous crop root channels are also not disturbed in CA systems and these act as very good soil pores for drainage of water. Recent research data shows that infiltration of water in CA systems is greater than in conventionally tilled plots as long as ZT is combined with residue cover.","CA, compaction of agricultural soils",general questions,get insights,False
What is the Carbon saturation point of soil? Is it inherent characteristics of soil? How can we determine the carbon saturation point of soil?,soil conditions,"The amount of capacity can be a function of clay content and the amount of calcium.
When clay and organic matter become complexed through the agency of cationic bridging the decay of soil organic is greatly reduced and this favors soil organic matter accumulation.
In a very sandy soil the adding of silt and clay will result in better soil organc matter conservation and increase.
In the acid soils the liming will improve the ability of soil to retain can conserve soil organic matter.
Soil calcium is need for the earth worm activity with are prime buider so soil organic matters.
A well wormed soil has excretion of calcium precipitates.Vermicompost is characterized by high content of calcium and phosphorus and serves as an excellent organic starter amendment giving both a complete nutrient resource but also humic materials which stimulate germination and seedling response particularly root development.",carbon saturation point on soil,general questions,know what,False
Where are nutrient supplies coming from under CA cropping systems?,conservation agriculture,"In some cases, higher bulk densities under CA have been observed. However, this can be corrected by controlling traffic and limiting the number of passes over agricultural fields, particularly when soils are wet and most prone to compaction. For animal powered and manual systems, compaction would be less than where full tillage is given. Compared to conventional tillage, which often requires multiple passes of a tractor during a typical growing season, CA uses many fewer passes, thereby helping to reduce compaction issues in the long run. Perhaps even more important than measuring the bulk densities of particular soils is looking at other indicators of a healthy soil, including aggregate stability, porosity and biological activity among others. Soils under CA are typically much healthier than tilled soils due to the lack of soil disturbance and the building up of soil organic matter (SOM). Earthworm and previous crop root channels are also not disturbed in CA systems and these act as very good soil pores for drainage of water. Recent research data shows that infiltration of water in CA systems is greater than in conventionally tilled plots as long as ZT is combined with residue cover.Farmers may choose to apply either chemical or organic fertilizers to meet crop requirements, though decomposing crop residues from green manure cover crops (GMCCs), other cover crops and previous crops also supply essential nutrients. One important distinction between CA and other agricultural systems is that crop residues are left on the soil surface and are not incorporated into the soil. Chemical and organic fertilizers, however, should be banded into the soil with minimal soil disturbance using the appropriate planting equipment. The result of improved biological activity in CA soils means more nutrient recycling and a better nutrient supplying capacity of the soil. However, for high yield, some additional external nutrients may need to be applied. It may be difficult to band bulky organic fertilizers and these can be placed as a mulch on the soil surface where microbes utilize and break them down in forms available to plant roots.","CA, nutrient supplies, cropping systems",general questions,get insights,False
Is it true that farmers typically must wait 4-5 years until agricultural yields reach those attained under successful conventional agricultural systems?,conservation agriculture,"Though some farmers have reported lower yields during early stages of adoption of CA, many others have reported comparable or increased agricultural yields during this same period. Early success under CA has as much to do with agroecological conditions as with farmer experience and knowledge in land management. No-till farmers in South Asia have experienced early success and higher yields with ZT wheat due to their ability to plant their crops closer to their optimal planting dates since they no longer use valuable planting time for tillage operations. In other cases, the condition of the soil must be significantly improved before agricultural yields can be maintained or improved. For example, heavily compacted soils low in soil organic matter (SOM) content require a longer transition phase than healthier soils with higher levels of SOM. Such problems can be remedied by growing cover crops and incorporating organic amendments into the soil even before converting to a strict no-till (NT) system. During this ""transition phase,"" farmers must carefully monitor changes in soil quality and effectively manage pest and weed problems. If all this is done properly and according to the specific on-farm conditions and management desires of the farmer, agricultural yields will likely be maintained or increased under CA, as compared to conventional production systems. It may take several years for the soil to visibly show improved properties and health.","agricultural yields, conventional agricultural systems",general questions,get insights,False
What are the recommended first steps one should take when considering a transition to conservation agriculture?,conservation agriculture,"One should first try to obtain information on CA practices and principles from available and reliable sources, including friends and family members, local extension personnel, other farmers who have used CA or books and publications in libraries and on the internet. Farmers should also identify possible sources of seeds for locally adapted cover crop species as well as the necessary tools and equipment for implementing NT systems. It is recommended that farmers start small, by partitioning off a small experimental plot having few agricultural limitations. Farmers are encouraged to be active learners in the process of establishing no-till conservation agriculture on their own farms, and over time and with careful observation and management practices, they may successfully adapt the new technologies to their own farming conditions. Try to find a farmer in your area who is already practicing CA and learn from him what is important for it to be successful. Once convinced a farmer can become the best extension agent to scale up adoption.",conservation agriculture,general questions,get insights,False
Is it possible to meet the food requirement of future population without genetically modified crops in Indian context?,sustainability trends in agriculture,"The amount of capacity can be a function of clay content and the amount of calcium.
When clay and organic matter become complexed through the agency of cationic bridging the decay of soil organic is greatly reduced and this favors soil organic matter accumulation.
In a very sandy soil the adding of silt and clay will result in better soil organc matter conservation and increase.
In the acid soils the liming will improve the ability of soil to retain can conserve soil organic matter.
Soil calcium is need for the earth worm activity with are prime buider so soil organic matters.
A well wormed soil has excretion of calcium precipitates.Vermicompost is characterized by high content of calcium and phosphorus and serves as an excellent organic starter amendment giving both a complete nutrient resource but also humic materials which stimulate germination and seedling response particularly root development.",meet food requirement for future population without genetically modified crops in indian context,general questions,curious to know more,False
